transfer_weight,transfer_tau,model_iter,runs,tree_queries,train_oos_iterations,max_depth,max_steps,epsilon,az_p1_vs_heuristic_reward,az_p1_vs_heuristic_stderr_reward,az_p1_vs_heuristic_attacker_goal_rate,az_p1_vs_heuristic_tagged_rate,az_p1_vs_heuristic_timeout_rate,az_p1_vs_heuristic_mean_steps,heuristic_vs_az_p2_reward,heuristic_vs_az_p2_stderr_reward,heuristic_vs_az_p2_attacker_goal_rate,heuristic_vs_az_p2_tagged_rate,heuristic_vs_az_p2_timeout_rate,heuristic_vs_az_p2_mean_steps
0.0,0.0,1221,500,1000,1000,5,50,0.0,-0.34681442731268586,0.024526212521759003,0.274,0.726,0.0,10.898,-0.278235335000003,0.032942023740010797,0.688,0.312,0.0,5.688
0.05,52.63157894736842,1221,500,1000,1000,5,50,0.0,-0.6063561585233848,0.011255200892906637,0.048,0.952,0.0,9.272,0.7700342087500042,0.011729808119908404,0.028,0.972,0.0,5.028
0.1,111.11111111111111,1221,500,1000,1000,5,50,0.0,-0.5906828307435036,0.01259105980546953,0.062,0.938,0.0,9.36,0.7001495725000021,0.018378878047790415,0.072,0.928,0.0,5.072
0.15000000000000002,176.47058823529414,1221,500,1000,1000,5,50,0.0,-0.543511861624458,0.015678549878940046,0.098,0.902,0.0,9.686,0.6842667006250017,0.019507743047081274,0.082,0.918,0.0,5.082
0.2,250.0,1221,500,1000,1000,5,50,0.0,-0.5117386630447358,0.017131125044109605,0.12,0.88,0.0,10.036,0.6048523412499994,0.024067201158188476,0.132,0.868,0.0,5.132
0.25,333.3333333333333,1221,500,1000,1000,5,50,0.0,-0.4806920008090806,0.018565403448139173,0.146,0.854,0.0,10.192,0.5603802999999983,0.026066240266463144,0.16,0.84,0.0,5.16
0.30000000000000004,428.57142857142867,1221,500,1000,1000,5,50,0.0,-0.4531626446884695,0.019589081679324813,0.168,0.832,0.0,10.396,0.48096594062499654,0.028960226402098062,0.21,0.79,0.0,5.21
0.35000000000000003,538.4615384615386,1221,500,1000,1000,5,50,0.0,-0.42339426528531726,0.02026049639526688,0.186,0.814,0.0,10.87,0.5063785356249968,0.028115586377910885,0.194,0.806,0.0,5.194
0.4,666.6666666666666,1221,500,1000,1000,5,50,0.0,-0.40558610062690303,0.020322797457272748,0.19,0.81,0.0,11.4,0.43649389937499705,0.030279222821071722,0.238,0.762,0.0,5.238
0.45,818.1818181818181,1221,500,1000,1000,5,50,0.0,-0.34794670649664533,0.021802267712872296,0.236,0.764,0.0,11.804,0.3570795399999975,0.03219696981260713,0.288,0.712,0.0,5.288
0.5,1000.0,1221,500,1000,1000,5,50,0.0,-0.33198248247040324,0.022175361087351773,0.25,0.75,0.0,11.89,0.3888452837499969,0.03149210546888615,0.268,0.732,0.0,5.268
0.55,1222.222222222222,1221,500,1000,1000,5,50,0.0,-0.30324712616819116,0.022488523971594305,0.266,0.734,0.0,12.32,0.261782308749997,0.03386820497721492,0.348,0.652,0.0,5.348
0.6000000000000001,1500.0000000000002,1221,500,1000,1000,5,50,0.0,-0.2806978204314192,0.02294608137910095,0.288,0.712,0.0,12.354,0.31260749874999716,0.0330560039606775,0.316,0.684,0.0,5.316
0.65,1857.142857142857,1221,500,1000,1000,5,50,0.0,-0.24542838417344448,0.023098293620343532,0.31,0.69,0.0,12.948,0.3062543499999976,0.03316715384331271,0.32,0.68,0.0,5.32
0.7000000000000001,2333.3333333333335,1221,500,1000,1000,5,50,0.0,-0.209484238470519,0.023308599965108024,0.334,0.666,0.0,13.32,0.1537787799999995,0.035045466758427,0.416,0.584,0.0,5.416
0.75,2999.999999999999,1221,500,1000,1000,5,50,0.0,-0.18731478372756102,0.022854657056012587,0.336,0.664,0.0,14.11,0.18554452374999755,0.034773213095495276,0.396,0.604,0.0,5.396
0.8,3999.9999999999986,1221,500,1000,1000,5,50,0.0,-0.1806520273030708,0.023046349483050475,0.346,0.654,0.0,13.982,0.15377877999999942,0.03504546675842698,0.416,0.584,0.0,5.416
0.8500000000000001,5666.666666666668,1221,500,1000,1000,5,50,0.0,-0.1738452397247475,0.022706395703875257,0.342,0.658,0.0,14.416,0.14424905687499998,0.0351155038649893,0.422,0.578,0.0,5.422
0.9,8999.999999999995,1221,500,1000,1000,5,50,0.0,-0.13286912415075017,0.022845741246736342,0.376,0.624,0.0,14.71,0.026715804999999915,0.03554961209113132,0.496,0.504,0.0,5.496
0.9500000000000001,18999.999999999993,1221,500,1000,1000,5,50,0.0,-0.06733808064758165,0.022510396768766143,0.422,0.578,0.0,15.416,0.05212840000000009,0.03552229774818867,0.48,0.52,0.0,5.48
1.0,1.221e6,1221,500,1000,1000,5,50,0.0,-0.0873225274974252,0.0224766869491628,0.404,0.596,0.0,15.386,0.004479784374999975,0.03554363887222146,0.51,0.49,0.0,5.51
