regret_scale,regret_player,value_player,runs,player1_reward,player1_stderr,player2_reward,player2_stderr,regret_only_reward,regret_only_stderr,value_only_reward,value_only_stderr,mean_steps,attacker_goal_rate,tagged_rate,timeout_rate,queries,max_depth,max_steps,search_epsilon,action_epsilon,regret_prior_weight,strategy_prior_weight,statistic_prior_weight,prior_reach_power,backup,elapsed_seconds
1.0,1,2,500,-0.36959794727540957,0.02188420782286641,0.36959794727540957,0.02188420782286641,-0.36959794727540957,0.02188420782286641,0.36959794727540957,0.02188420782286641,12.344,0.202,0.788,0.01,100,5,50,0.1,0.0,1.0,0.0,0.0,1.0,mean,14.705324959
1.0,2,1,500,-0.40568273225171836,0.021458990807471056,0.40568273225171836,0.021458990807471056,0.40568273225171836,0.021458990807471056,-0.40568273225171836,0.021458990807471056,11.392,0.174,0.82,0.006,100,5,50,0.1,0.0,1.0,0.0,0.0,1.0,mean,11.760030541
2.5,1,2,500,-0.3591402355078979,0.02233102356559963,0.3591402355078979,0.02233102356559963,-0.3591402355078979,0.02233102356559963,0.3591402355078979,0.02233102356559963,12.324,0.218,0.774,0.008,100,5,50,0.1,0.0,1.0,0.0,0.0,1.0,mean,13.044487208
2.5,2,1,500,-0.43582379421348744,0.020098192838594372,0.43582379421348744,0.020098192838594372,0.43582379421348744,0.020098192838594372,-0.43582379421348744,0.020098192838594372,11.664,0.152,0.844,0.004,100,5,50,0.1,0.0,1.0,0.0,0.0,1.0,mean,12.052221833
10.0,1,2,500,-0.3118987708417692,0.02371801299587932,0.3118987708417692,0.02371801299587932,-0.3118987708417692,0.02371801299587932,0.3118987708417692,0.02371801299587932,11.952,0.252,0.748,0.0,100,5,50,0.1,0.0,1.0,0.0,0.0,1.0,mean,12.231899833
10.0,2,1,500,-0.4052282793839647,0.021034332266609647,0.4052282793839647,0.021034332266609647,0.4052282793839647,0.021034332266609647,-0.4052282793839647,0.021034332266609647,11.682,0.176,0.82,0.004,100,5,50,0.1,0.0,1.0,0.0,0.0,1.0,mean,12.366554708
25.0,1,2,500,-0.3471816171384355,0.02239411212512728,0.3471816171384355,0.02239411212512728,-0.3471816171384355,0.02239411212512728,0.3471816171384355,0.02239411212512728,12.444,0.216,0.776,0.008,100,5,50,0.1,0.0,1.0,0.0,0.0,1.0,mean,14.772516959
25.0,2,1,500,-0.4027407813628375,0.02155224343763844,0.4027407813628375,0.02155224343763844,0.4027407813628375,0.02155224343763844,-0.4027407813628375,0.02155224343763844,11.416,0.186,0.812,0.002,100,5,50,0.1,0.0,1.0,0.0,0.0,1.0,mean,13.724519042
100.0,1,2,500,-0.33224118343643094,0.02284742296646024,0.33224118343643094,0.02284742296646024,-0.33224118343643094,0.02284742296646024,0.33224118343643094,0.02284742296646024,12.2,0.24,0.756,0.004,100,5,50,0.1,0.0,1.0,0.0,0.0,1.0,mean,14.725132792
100.0,2,1,500,-0.42701916741400936,0.020340771074935163,0.42701916741400936,0.020340771074935163,0.42701916741400936,0.020340771074935163,-0.42701916741400936,0.020340771074935163,11.63,0.17,0.83,0.0,100,5,50,0.1,0.0,1.0,0.0,0.0,1.0,mean,13.55839325
