method,corruption,regret_relative_error,strategy_relative_error,regret_cosine,strategy_tv
vanilla,0.0,3.5939668804866214e-8,1.4259231702015186e-8,0.9999999999999997,6.670526286934606e-9
vanilla,0.1,0.16517103679724565,0.07778424742791397,0.994234616588243,0.03964367825747952
vanilla,0.25,0.41292760406803225,0.19446061772109668,0.9428731613233757,0.09910919691458564
vanilla,0.5,0.8258552074999777,0.38892125326691873,0.5638822361496847,0.19821840389573986
vanilla,0.75,1.2387828141013502,0.5833818698745046,-0.03298753130914718,0.29732760008292275
vanilla,1.0,1.6517104284059787,0.77784249662243,-0.36407366925561213,0.3964368016253682
plus,0.0,2.3376661336152155e-8,1.4142644983366135e-8,0.9999999999999997,5.906921348937537e-9
plus,0.1,0.14763166010464965,0.06918402693901489,0.9941021321079203,0.032689210413071
plus,0.25,0.3629176888715418,0.17296007139116934,0.9512075446566197,0.08172302960200994
plus,0.5,0.7075142689328886,0.3459201394426406,0.709650590726325,0.16344605846522814
plus,0.75,0.82151700253705,0.5188802136909598,0.5746574423732707,0.24516909021464084
plus,1.0,0.8970965472268672,0.6918402873886681,0.4848921188964128,0.32689211980367494
