method,step,mode,source_mass,strategy_p1_action_1,strategy_p1_action_2,strategy_p1_action_3,strategy_p2_action_1,strategy_p2_action_2,strategy_p2_action_3,regret_p1_action_1,regret_p1_action_2,regret_p1_action_3,regret_p2_action_1,regret_p2_action_2,regret_p2_action_3
vanilla,1,1,4096.0,0.99755859375,0.0012207031249999998,0.0012207031249999998,0.9982174215786743,9.929670251242254e-5,0.0016832817188132934,0.0773529265075921,-67.02227318174602,-369.59722006695205,1.4813398964703086,-244.59094987885953,-547.4232496954917
vanilla,1,2,4096.0,0.22418721136058628,0.20079442216693838,0.5750183664724754,0.3632896217096779,0.09560485752236413,0.541105520767958,2.51793773174358,-98.90993241258023,1.5475824438036023,21.674604803323287,-12.029834547264134,23.17464198097629
vanilla,1,3,4096.0,0.12311238902385327,0.5105954810207942,0.3662921299553524,0.20767744303007413,0.5551618761156736,0.23716068085425235,-45.2469633087497,12.947714817524119,-18.101733491196864,-18.63636934384712,7.335455369577141,22.55189595669519
vanilla,2,1,4096.0,0.5718690197731672,0.23814898101308996,0.1899819992137428,0.4978224439632419,0.3852762407188922,0.1169013153178659,-12.611667468647143,-2.7750022798778047,25.06500491648929,11.636670164267343,1.2133290444810152,-29.770001043379835
vanilla,2,2,4096.0,0.3623596499436541,0.12614683305797056,0.5114935169983754,0.20954897237276174,0.20231264260144188,0.5881383850257964,3.634995646774441,-128.2683336605638,11.055004012584611,-23.13166910211211,10.49833778043535,20.06166532287981
vanilla,2,3,4096.0,0.0008941328665096585,0.9989431067168237,0.00016276041666666666,0.0006910846307379704,0.9991461549525954,0.00016276041666666666,-633.5200109675039,0.8033333440621695,-116.36332235236486,-633.9850109755505,0.3383333360155424,-118.49832238455123
vanilla,3,1,4096.0,0.5933806879439536,0.3062959843223586,0.10032332773368781,0.604890855144847,0.29462024670191667,0.10048889815323643,0.7583333333333933,2.4916666666665233,-41.27500000000093,0.43333333333339086,-4.004019338310627e-13,26.64999999999939
vanilla,3,2,4096.0,0.29460797956351176,0.09995145183603368,0.6054405686004546,0.26727354553040256,0.11360105525008769,0.6191253992195098,-34.44999999999965,-92.3000000000008,7.150000000000166,16.57499999999965,-18.525000000000148,20.258333333333475
vanilla,3,3,4096.0,0.10117006531602216,0.6311684701041568,0.2676614645798211,0.1012780939273441,0.6229642839650632,0.27575762210759275,-56.44166666666789,23.50833333333343,15.491666666667168,-151.88333333333244,7.150000000000198,-7.366666666666893
plus,1,1,4096.0,0.9987793886151903,0.00025113082339141903,0.0009694805614182564,0.9991636469037841,8.138020833333333e-5,0.000754972887882508,0.46500000245869155,0.0,0.0,0.24026143737137312,0.0,0.0
plus,1,2,4096.0,0.21541438550325498,0.21989031333006648,0.5646953011666785,0.35115469560348694,0.11149830753420846,0.5373469968623046,0.24052287228405478,0.16526143737137322,10.820784428715665,33.32715382911257,14.726373283937408,63.044249495118166
plus,1,3,4096.0,0.13938919207296985,0.5033285717566806,0.35728223617034965,0.22404264085845793,0.563603897984896,0.21235346115664608,11.846503195166585,26.222288998962064,19.982907485961615,22.408627665415334,23.44908327944656,11.428464253619254
plus,2,1,4096.0,0.5777919550721383,0.21992616389968386,0.2022818810281778,0.5448759388493614,0.3405061786451892,0.11461788250544952,14.83333205928438,10.134999656677284,7.283333494265868,37.93833667536555,29.27999772280372,4.964999981224535
plus,2,2,4096.0,0.3494327667384651,0.11927535628330879,0.531291876978226,0.21485511089154766,0.20821177763928117,0.5769331114691713,13.021663611630085,5.363333242138217,19.066669912140036,14.09499927312131,5.175001046061539,33.75999885201474
plus,2,3,4096.0,0.001026859164534124,0.9980673307379871,0.000905810097478711,0.0014725053399359494,0.9982399004331763,0.00028759422688777393,0.0,1.7550000160932537,0.0,0.0,0.3383333360155424,0.0
plus,3,1,4096.0,0.6376049497802887,0.25415724756664715,0.10823780265306424,0.636971002461532,0.25883689474179394,0.10419210279667404,37.15833333333328,12.024999999999984,1.2999999999999996,29.03333333333273,12.024999999999844,1.949999999999996
plus,3,2,4096.0,0.27125628186956025,0.10828478147368811,0.6204589366567516,0.24706666107324932,0.10906374623073542,0.6438695926960153,13.64999999999994,13.216666666666663,23.400000000000148,14.516666666666922,17.224999999999998,38.891666666666474
plus,3,3,4096.0,0.11241679302377618,0.640397237065233,0.2471859699109908,0.10526266529472852,0.6338416564268545,0.2608956782784169,16.791666666666693,38.78333333333298,18.525000000000265,0.0,31.95833333333276,7.149999999999906
