model,width,transform,player,best_epoch,validation_rmse,test_rmse,active_rmse,inactive_rmse,negative_fraction
checkpoint,64,logsnr-zscore,1,0,,0.19130625,0.24814214,0.08671104,0.0848982785602504
plain_mse,64,logsnr-zscore,1,55,0.215268261867515,0.20288512,0.2625737,0.093893714,0.047339593114241005
softplus_mse,64,logsnr-zscore,1,50,0.21919609462561654,0.20294255,0.26493692,0.086110674,0.0
softplus_huber,64,logsnr-zscore,1,82,0.21712184297795328,0.20233864,0.2627178,0.090821885,0.0
log_huber,64,logsnr-zscore,1,203,0.22581523124759847,0.20890047,0.28399798,0.023313465,0.0
checkpoint,64,logsnr-zscore,2,0,,0.17331167,0.22499771,0.07765535,0.060641627543035995
plain_mse,64,logsnr-zscore,2,100,0.13176272443340234,0.18168521,0.23508184,0.084018685,0.08528951486697965
softplus_mse,64,logsnr-zscore,2,26,0.13326345347271007,0.18979363,0.24767457,0.08058947,0.0
softplus_huber,64,logsnr-zscore,2,26,0.13122897121587285,0.18923865,0.24642219,0.08222292,0.0
log_huber,64,logsnr-zscore,2,97,0.1353610265266235,0.19816098,0.26918074,0.023754666,0.0
