model,player,split,samples,entries,raw_rmse,effective_rmse,skill_vs_zero,active_fraction,active_rmse,inactive_rmse,negative_prediction_fraction,gate_brier,gate_precision,gate_recall,gate_positive_rate
checkpoint_single_head,1,train,52415,157245,0.2351201,0.23512262,0.20584977,0.5470062641101466,0.30823356,0.08551575,0.080161531368247,,,,
refit_single_head,1,train,52415,157245,0.21151204,0.21151431,0.35732222,0.5470062641101466,0.26817304,0.109175585,0.2133295176317212,,,,
hurdle_log_magnitude,1,train,52415,157245,0.22607544,0.22607686,0.26578027,0.5470062641101466,0.29851454,0.07227827,0.0,0.18657704,0.7210755024443237,0.7716767037924059,0.585392222328214
checkpoint_single_head,1,validation,6655,19965,0.23169559,0.23169795,0.21259558,0.5484598046581518,0.30345076,0.083925955,0.07493112947658402,,,,
refit_single_head,1,validation,6655,19965,0.21783747,0.21783961,0.30397117,0.5484598046581518,0.2747982,0.11563431,0.2082143751565239,,,,
hurdle_log_magnitude,1,validation,6655,19965,0.22973305,0.22973433,0.22588539,0.5484598046581518,0.30177048,0.07919716,0.0,0.19084124,0.7168424693065882,0.7571689497716895,0.5793137991485099
checkpoint_single_head,1,test,6466,19398,0.2227605,0.22276312,0.20529687,0.5466027425507785,0.29166472,0.08301844,0.0777399731931127,,,,
refit_single_head,1,test,6466,19398,0.20901783,0.20901996,0.3003291,0.5466027425507785,0.26501754,0.10810882,0.2244045777915249,,,,
hurdle_log_magnitude,1,test,6466,19398,0.21928684,0.21928847,0.229895,0.5466027425507785,0.2883301,0.07639367,0.0,0.18863723,0.7144484359940418,0.7690276336885787,0.5883596247035777
checkpoint_single_head,2,train,52415,157245,0.1638178,0.16382046,0.24835598,0.499971382237909,0.22142132,0.06818672,0.05492702470666794,,,,
refit_single_head,2,train,52415,157245,0.14112987,0.14113247,0.44213414,0.499971382237909,0.18542126,0.07387395,0.14458329358644154,,,,
hurdle_log_magnitude,2,train,52415,157245,0.15224488,0.15224662,0.35081083,0.499971382237909,0.20770976,0.05671866,0.0,0.16296318,0.7699112635418368,0.7195553181205322,0.4672708194219212
checkpoint_single_head,2,validation,6655,19965,0.16116542,0.16116829,0.26646787,0.4985224142248936,0.21755771,0.068883464,0.05088905584773353,,,,
refit_single_head,2,validation,6655,19965,0.1462839,0.14628693,0.39567435,0.4985224142248936,0.1906383,0.08090014,0.13673929376408714,,,,
hurdle_log_magnitude,2,validation,6655,19965,0.15554695,0.1555489,0.31672776,0.4985224142248936,0.21012606,0.065996684,0.0,0.17214651,0.7436575052854123,0.7068220636993872,0.4738292011019284
checkpoint_single_head,2,test,6466,19398,0.14797868,0.14798164,0.23891848,0.4923703474585009,0.20055032,0.06424527,0.05768635941849675,,,,
refit_single_head,2,test,6466,19398,0.1329749,0.13297762,0.3854282,0.4923703474585009,0.17550823,0.07040841,0.14522115682029074,,,,
hurdle_log_magnitude,2,test,6466,19398,0.13808604,0.13808793,0.33728486,0.4923703474585009,0.18897952,0.054070648,0.0,0.16029055,0.7714317648373756,0.7226468432624856,0.46123311681616663
